cellid_a,cellid_b,cd_3_4,cd_2_4,cd_2_3,cd_1_4,cd_1_3,cd_1_2
1,1,0,0,0.742424242424242,0,0.742424242424242,1
1,2074,0.812903225806452,0.779874213836478,0,0.779874213836478,0,0
2,2,0.751091703056769,0.751091703056769,1,1,0.751091703056769,0.751091703056769
3,3,0.610932475884244,1,0.610932475884244,0.997668997668998,0.612903225806452,0.997668997668998
4,4,1,1,1,1,1,1
5,5,1,1,1,1,1,1
6,6,1,1,1,1,1,1
7,7,0.663636363636364,1,0.663636363636364,1,0.663636363636364,1
8,8,1,0.986899563318777,0.986899563318777,1,1,0.986899563318777
10,10,0.858974358974359,0.858974358974359,1,0.858974358974359,1,1
11,11,0,0,1,0,0.624390243902439,0.624390243902439
11,2834,0.5,0.5,0,0.846846846846847,0,0
11,2835,0.248447204968944,0.248447204968944,0,0,0,0
12,12,1,0.736156351791531,0.736156351791531,1,1,0.736156351791531
13,2074,0,0,0.695652173913043,0,0,0
13,2077,0,0.653061224489796,0,0,0,0
14,14,1,1,1,1,1,1
15,15,0.622406639004149,0.622406639004149,1,0.622406639004149,1,1
16,16,1,1,1,1,1,1
17,17,0.84,0.84,1,0.84,1,1
18,18,1,1,1,1,1,1
19,19,0,0,1,0,0.657342657342657,0.657342657342657
19,2079,0.183574879227053,0.183574879227053,0,0,0,0
19,2080,0.597014925373134,0.597014925373134,0,0.786516853932584,0,0
20,20,1,1,1,1,1,1
21,21,0,0,0.658536585365854,0,0.658536585365854,1
21,2083,0.762962962962963,0.752688172043011,0,0.752688172043011,0,0
22,22,0,0,0.771428571428571,0,0.771428571428571,1
22,2082,0.858333333333333,0.835051546391753,0,0.835051546391753,0,0
23,23,1,1,1,0.501070663811563,0.501070663811563,0.501070663811563
24,24,0.864864864864865,0.864864864864865,1,0.864864864864865,1,1
25,25,0,0,0.771653543307087,0,0.334519572953737,0.484536082474227
25,2261,0.532915360501567,0.103448275862069,0,0,0,0
25,2262,0.356643356643357,0.512562814070352,0,0.787878787878788,0,0
26,26,0,0,0,0,0,0.757446808510638
26,2076,0,0,0.510204081632653,0,0.705035971223022,0
26,2077,0,0,0.340909090909091,0,0.285714285714286,0
26,2084,0,0.410810810810811,0,0.265625,0,0
26,2085,0,0.272189349112426,0,0.410714285714286,0,0
27,27,0,0,1,0,1,1
27,2766,0.343558282208589,0.343558282208589,0,0.343558282208589,0,0
27,2767,0.373493975903614,0.373493975903614,0,0.373493975903614,0,0
28,28,1,0.75,0.75,0.75,0.75,1
29,29,1,1,1,0.625352112676056,0.625352112676056,0.625352112676056
30,30,0,0,0.492424242424242,0,0.990049751243781,0.485074626865672
30,2086,0.573476702508961,0.841379310344828,0,0.565371024734982,0,0
31,31,0,0,1,0,0.687697160883281,0.687697160883281
31,2087,0.459259259259259,0.459259259259259,0,0.713450292397661,0,0
31,2088,0.142857142857143,0.142857142857143,0,0.192,0,0
32,32,1,0.648936170212766,0.648936170212766,0,0,0
33,33,0,0.806451612903226,0,0,0,0
34,34,1,1,1,1,1,1
35,35,0,0,1,0,1,1
35,2089,0.878661087866109,0.878661087866109,0,0.878661087866109,0,0
36,36,0.775510204081633,1,0.775510204081633,0.775510204081633,1,0.775510204081633
37,37,0.748251748251748,0.748251748251748,1,0.748251748251748,1,1
38,38,0,0.844919786096257,0,0.844919786096257,0,1
39,39,1,1,1,0.733333333333333,0.733333333333333,0.733333333333333
40,40,1,1,1,1,1,1
41,41,1,0.831275720164609,0.831275720164609,0.831275720164609,0.831275720164609,1
42,42,1,1,1,1,1,1
43,43,0.813278008298755,1,0.813278008298755,1,0.813278008298755,1
44,44,0.654411764705882,0.654411764705882,1,0.654411764705882,1,1
46,46,1,1,1,1,1,1
47,47,0.69047619047619,1,0.69047619047619,1,0.69047619047619,1
48,48,0,0,0.76163610719323,0,0.76163610719323,1
48,2090,0.849372384937239,0.639625585023401,0,0.639625585023401,0,0
49,49,0.716981132075472,0.716981132075472,1,0.716981132075472,1,1
50,50,1,1,1,1,1,1
51,51,0.703703703703704,0.703703703703704,1,0.703703703703704,1,1
52,52,1,0.797385620915033,0.797385620915033,0.797385620915033,0.797385620915033,1
53,53,1,0.859504132231405,0.859504132231405,0.859504132231405,0.859504132231405,1
54,54,1,1,1,1,1,1
55,55,1,1,1,1,1,1
56,56,0.573476702508961,0.573476702508961,1,0.573476702508961,1,1
57,57,1,1,1,1,1,1
58,58,1,0.837837837837838,0.837837837837838,0.837837837837838,0.837837837837838,1
